"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"P. Aukland","Norway 1.","Fredrikstad","RCB","26","400000","","16","1195","0","0","Norway","right","186","9.56","5.87","64.1","5.57","51.35","0.3","6.1","1.43","0","0.06","0","0.45","33.33","0","1.81","41.67","0.75","70","2.18","58.62","1.05","1.05","0.08","44.21","77.68","20.11","68.16","7.76","49.51","0.05","0","0.15","0","0.15","9.94","65.91","2.79","54.05","0.9","10.47","72.66"
"H. Tangen","Norway 1.","Sarpsborg 08","AMF, CF, LCMF","24","750000","2027-12-31","22","1171","2","1","Norway","right","177","6.3","5.69","62.16","1.77","43.48","0.31","3.52","1.46","0.15","0.1","0.08","0.85","36.36","18.182","0.54","14.29","1.69","59.09","6.76","34.09","3","1","0.15","31.2","85.96","7.22","75.53","0.92","50","0.14","0.15","0.23","33.33","0.31","2.54","75.76","1.46","57.89","1.15","3.07","65"
"O. Sæter","Norway 1.","Rosenborg","CF","29","0","","23","1169","10","2","Norway","left","192","4.39","4.31","53.57","5.93","38.96","0.08","2.46","1.77","0.54","0.68","0.08","2.69","42.86","28.571","0.46","0","1.23","50","5.62","30.14","4","0.62","0","12.63","64.02","1.92","48","0.85","63.64","0.01","0.08","0.08","0","0.08","1.08","42.86","0.69","33.33","0.08","1.46","36.84"
"K. Lien","Norway 1.","Kristiansund","CF","23","250000","2027-06-30","14","1163","2","0","Norway","right","188","3.56","3.71","47.92","6.42","40.96","0","1.82","1.08","0.15","0.26","0.08","1.63","47.62","9.524","0.08","0","0.93","33.33","6.58","27.06","2.24","0.62","0.15","13.85","73.74","2.4","58.06","0.46","33.33","0.03","0","0","0","0.15","1.93","44","0.23","33.33","0.31","1.39","27.78"
"J. Kjær","Norway 1.","Fredrikstad","CF, RW, RCMF","21","0","2027-06-30","24","1154","3","0","Denmark","left","174","8.58","8.66","65.77","3.28","19.05","0.16","3.58","3.2","0.23","0.2","0","1.64","33.33","14.286","1.79","26.09","5.77","36.49","14.66","27.66","3.67","2.65","0.62","26.13","78.81","5.85","69.33","0.7","66.67","0.14","0","0.23","33.33","0.16","1.95","72","2.34","43.33","1.09","3.28","76.19"
"A. Lúdvíksson","Norway 1.","Haugesund","RDMF, LDMF, RCMF","22","350000","2027-12-31","22","1148","0","0","Iceland","left","188","8.62","8.55","56.88","1.25","12.5","0","4.4","1.25","0","0.04","0","0.47","16.67","0","0.55","42.86","1.57","60","8.23","38.1","1.02","1.25","0.39","41.63","88.51","11.13","76.06","1.65","61.9","0.03","0","0.08","0","0.16","4.47","77.19","0.63","37.5","0.16","4.78","59.02"
"M. Barry","Norway 1.","Tromsø","RCB","20","0","2028-12-31","15","1148","1","0","Senegal","","0","12.47","7.37","72.34","6.04","57.14","1.1","6.88","1.65","0.08","0.09","0.08","0.71","44.44","11.111","0.78","30","1.65","66.67","4.55","48.28","1.02","1.25","0.08","42.26","82.19","15.44","69.04","4.94","49.21","0.02","0","0.08","0","0","6.74","72.09","1.33","35.29","0.47","9.02","61.74"
"N. Ødegård","Norway 1.","Molde","CF, LCMF, RCMF","21","750000","2025-12-31","25","1147","2","0","Norway","right","189","4.86","3.77","45.83","8.71","36.04","0.08","2.95","1.8","0.16","0.19","0.08","1.41","27.78","11.111","1.02","53.85","1.41","55.56","5.96","32.89","2.9","0.94","0.47","16.79","67.76","5.81","47.3","1.57","45","0.07","0","0.31","25","0.39","2.51","40.63","1.1","57.14","0.71","2.59","57.58"
"T. Berg Haltvik","Norway 1.","KFUM","RW, RWF, AMF","25","125000","","25","1139","0","2","Norway","right","182","5.37","6.08","59.74","2.05","26.92","0","1.96","1.58","0","0.2","0","1.26","18.75","0","0.79","40","2.84","36.11","9.32","21.19","3.71","1.34","0.32","18.49","73.5","4.35","63.64","0.47","16.67","0.14","0","0.24","0","0.32","1.03","76.92","1.03","61.54","1.26","2.13","55.56"
"M. Henriksen","Norway 1.","Rosenborg","RCB, RCMF, LCMF","33","500000","","13","1138","0","1","Norway","right","189","7.83","5.85","64.86","3.72","55.32","0.63","4.57","1.03","0","0.08","0","0.79","10","0","1.03","15.38","1.03","69.23","2.93","40.54","1.82","1.19","0.24","39.31","84.51","15.58","77.16","3.72","44.68","0.01","0","0.08","100","0.16","6.72","69.41","1.11","35.71","0.55","6.41","75.31"
