"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"I. Ćubelić","Croatia 1.","Slaven Belupo","RDMF, LDMF, RCMF","22","250000","","11","514","0","0","Croatia","right","184","9.11","7.7","59.09","3.33","26.32","0.18","5.86","0.53","0","0.05","0","1.23","14.29","0","0.7","0","0.35","100","2.28","53.85","1.05","0.18","0.18","39.22","79.46","13.83","62.03","4.38","60","0","0","0","0","0","6.13","62.86","1.58","0","0.18","5.95","67.65"
"E. Duraković","Croatia 1.","Gorica","LB, LWB","25","200000","2026-05-30","9","500","0","0","Bosnia and Herzegovina","left","186","9.36","7.56","52.38","3.06","29.41","0.36","6.43","2.7","0","0.04","0","1.26","28.57","0","3.96","31.82","2.52","42.86","7.2","30","1.62","1.98","0.18","30.96","72.67","12.06","59.7","3.96","36.36","0.18","0","0","0","0.72","3.96","59.09","2.52","35.71","0.18","5.4","60"
"R. Raçi","Croatia 1.","Hajduk Split","LCB","23","0","","8","499","0","0","Kosovo","left","189","9.56","6.13","73.53","2.16","41.67","0.36","5","1.08","0","0.05","0","0.72","0","0","0.18","100","0.72","100","4.33","37.5","0.18","2.53","0","46.35","88.33","18.4","78.43","5.05","57.14","0","0","0.36","50","0","5.23","72.41","0.36","50","0","7.03","64.1"
"E. Hasić","Croatia 1.","Osijek","RCB","22","350000","2027-06-30","6","497","0","0","Sweden","right","191","7.24","5.79","62.5","3.08","35.29","0.36","4.87","0","0","0","0","0","0","0","0.18","0","0","0","0.72","75","0.18","1.45","0.18","49.8","88.73","14.67","74.07","5.25","51.72","0.01","0","0","0","0","4.89","51.85","0.72","25","0.36","6.7","72.97"
"L. Menalo","Croatia 1.","Rijeka","LAMF, LW, RB","29","600000","2026-06-30","9","484","1","0","Croatia","right","181","6.51","7.62","41.46","2.23","33.33","0","4.36","3.16","0.19","0.13","0","1.3","71.43","14.286","2.6","7.14","4.83","42.31","11.9","39.06","3.72","3.53","0.19","23.99","68.99","6.14","63.64","2.05","36.36","0.04","0.37","0","0","0.19","2.79","66.67","1.86","40","1.67","5.02","59.26"
"A. Sanyang","Croatia 1.","Hajduk Split","RAMF, LAMF","26","600000","2027-06-30","11","484","2","2","Gambia","left","173","5.21","4.65","56","1.12","0","0","3.63","7.44","0.37","0.3","0.37","2.23","50","16.667","3.53","31.58","10.04","51.85","18.04","45.36","4.83","4.46","0.93","23.8","67.97","6.69","63.89","0.74","25","0.25","0","0","0","1.3","1.49","75","3.9","38.1","1.67","4.09","77.27"
"S. Kulenović","Croatia 1.","Dinamo Zagreb","CF","25","2000000","","12","483","5","0","Croatia","right","190","4.29","2.05","72.73","5.59","36.67","0.19","5.23","2.42","0.75","0.76","0.19","2.8","53.33","33.333","0.93","0","1.3","71.43","6.34","47.06","4.66","0.93","0.75","19.94","76.64","2.05","36.36","0.56","33.33","0.03","0.19","0","0","0.19","1.49","50","0.75","50","0.75","1.12","50"
"M. Livaja","Croatia 1.","Hajduk Split","CF","32","5000000","2027-06-30","7","481","1","1","Croatia","right","182","1.31","1.68","66.67","3.74","40","0","0.31","3.56","0.19","0.31","0","2.43","46.15","7.692","0.94","40","2.81","66.67","10.67","40.35","4.49","1.12","0","19.46","72.12","5.8","58.06","2.06","54.55","0.08","0","0.56","33.33","0.56","3.18","64.71","2.99","43.75","1.68","3.18","94.12"
"V. Jovanov","Croatia 1.","Varaždin","RB","26","175000","2026-05-31","7","474","0","0","North Macedonia","","176","10.06","9.49","64","3.04","31.25","0.38","5.04","1.52","0","0","0","0.38","0","0","3.99","33.33","0.95","20","6.08","53.13","0.19","0.95","0.76","31.14","68.29","13.86","61.64","6.84","52.78","0.04","0","0","0","0.19","4.94","50","3.8","40","0.38","8.54","64.44"
"I. Bennacer","Croatia 1.","Dinamo Zagreb","LCMF, RDMF, LDMF","27","30000000","2027-06-30","6","474","0","2","France","left","175","10.44","7.03","78.38","1.71","55.56","0","5.66","3.04","0","0.1","0","0.76","25","0","1.71","44.44","2.85","73.33","14.24","52","0.95","1.52","0","49.37","89.62","18.42","82.47","4.18","63.64","0.13","0","0.19","0","0.19","9.3","79.59","1.9","70","0.76","7.41","89.74"
