"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Hradecky","Slovakia 1.","Skalica","LCB, RCB","30","250000","","23","1857","0","0","Finland","right","196","9.4","5.53","71.05","4.26","57.95","0.34","6.49","0.34","0","0","0","0.24","20","0","0.1","50","0.29","66.67","1.41","37.93","0.63","0.87","0","37.8","87.18","17.88","79.95","4.26","67.05","0","0","0.05","100","0","5.57","72.17","0.34","28.57","0.05","8.48","76"
"A. Katić","Slovakia 1.","Trenčín","GK","23","600000","","19","1845","0","0","Serbia","left","195","1.66","0.05","0","0.39","100","0","2.48","0.05","0","0","0","0","0","0","0","0","0.05","100","0.1","100","0","0","0","31.46","91.01","15.51","85.53","9.41","74.61","0","0","0","0","0","3.07","57.14","0.29","16.67","0","6.59","85.19"
"A. Gaži","Slovakia 1.","Skalica","LB, RAMF","22","175000","2025-12-31","29","1821","1","1","Slovakia","right","170","9.39","9","68.13","2.22","42.22","0.2","4.09","1.63","0.05","0.03","0","0.79","25","6.25","1.38","25","1.83","59.46","5.29","44.86","0.79","1.24","0.2","29.8","73.96","11.12","62.22","3.36","50","0.01","0","0","0","0.05","3.81","61.04","1.38","32.14","0.2","6.38","56.59"
"F. Mielke","Slovakia 1.","Podbrezová","RCB, LCB","20","0","2028-06-30","19","1819","0","0","Slovakia","right","0","10.14","7.22","67.81","3.07","50","0.59","6.52","0.4","0","0.04","0","0.2","25","0","0.4","12.5","0.49","60","1.73","42.86","0.59","0.59","0.05","40.32","80","17.71","68.16","5.99","45.45","0.01","0","0","0","0.05","5.29","64.49","0.84","41.18","0.45","8.31","60.12"
"T. Hájovský","Slovakia 1.","Trenčín","RB, RCMF, LCMF","20","0","","29","1803","1","3","Slovakia","right","0","6.84","5.84","53.85","3.04","42.62","0.4","4.3","0.95","0.05","0.05","0","0.7","50","7.143","0.95","36.84","0.7","35.71","3.79","38.16","1.5","0.95","0.15","28.25","78.98","9.98","69.5","2.1","45.24","0.09","0.05","0.05","0","0.45","4.14","68.67","0.9","38.89","0.4","4.39","67.05"
"T. Múdry","Slovakia 1.","Ružomberok","LCMF, RCMF, DMF","25","225000","","27","1796","1","0","Slovakia","right","178","6.92","5.26","66.67","1.35","33.33","0.2","4.37","0.55","0","0.06","0","0.35","42.86","14.286","0.4","25","0.55","54.55","2.76","43.64","0.35","0.1","0.05","25.46","75.2","9.82","59.18","3.66","34.25","0.01","0.05","0","0","0","4.66","53.76","0.85","35.29","0.3","4.51","57.78"
"D. Richtárech","Slovakia 1.","Dukla Banská Bystrica","DMF, LCMF","29","200000","2026-06-30","25","1796","0","0","Slovakia","right","172","13.08","11.07","66.52","1.75","40","0.45","6.21","1","0","0.03","0","0.75","26.67","0","0.6","25","1.05","52.38","5.86","45.3","0.5","0.7","0.2","39.29","78.44","15.94","71.38","4.96","51.52","0.04","0","0.3","33.33","0.1","7.52","70.67","1.85","59.46","1.05","9.27","68.65"
"A. Gajdoš","Slovakia 1.","Trenčín","LCMF, AMF","21","1300000","2028-06-30","28","1781","2","3","Slovakia","right","170","6.17","5.46","62.04","1.67","39.39","0","3.68","1.77","0.1","0.12","0","1.41","32.14","7.143","0.66","15.38","1.72","61.76","7.28","45.83","1.57","1.87","0.1","36.84","85.6","10.61","72.38","3.49","68.12","0.07","0","0.61","25","0.3","5.81","74.78","2.12","54.76","1.01","5.2","88.35"
"M. Madleňák","Slovakia 1.","Ružomberok","LB, LWB","26","250000","","26","1764","3","1","Slovakia","left","175","11.38","7.19","74.47","3.98","44.87","0.26","7.11","2.35","0.15","0.13","0","0.82","50","18.75","2.55","32","1.79","60","5.31","53.85","2.04","1.43","0.1","33.93","74.14","13.98","67.15","3.47","51.47","0.12","0","0.05","100","0.51","4.59","61.11","3.27","50","1.12","7.45","61.64"
"L. Leginus","Slovakia 1.","Skalica","LAMF, CF, RAMF","25","0","","28","1753","3","0","Slovakia","right","186","5.7","5.7","56.76","4.42","34.88","0.05","2.76","3.44","0.15","0.16","0.05","1.59","41.94","9.677","2.31","40","3.13","59.02","10.22","40.7","2.93","1.64","0.46","16.53","71.12","2.93","50.88","0.82","56.25","0.1","0","0.15","0","0.21","1.03","65","2.05","40","0.31","2.31","51.11"
